"method_name","root","AllPlatforms","Android","Windows","Web","IOS","IncludeLdpiTvdpi","MipmapInODrawable","AntiAliasing","CreateImagesetFolders","Keep","PNG","BMP","GIF","JPG","round","ceil","floor","skipExisting","QualityComp","Scale","Threads","run_time(ms;<)","energy(mWs;<)"
"at.favre.tools.dconvert.DConvert$1$1.<init>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1160000000000005,9.59110522825865
"at.favre.tools.dconvert.DConvert$1$1.onFinished",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3329283723837664,2.334221461753995
"at.favre.tools.dconvert.DConvert$1$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.004528050765734932,0.0035845004206997402
"at.favre.tools.dconvert.DConvert$1$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.009776338641107244,-0.0011533520836974655
"at.favre.tools.dconvert.DConvert$1$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.32609724947604307,-0.4961829025606107
"at.favre.tools.dconvert.DConvert$1$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.020012624864810827,0.009574449211575598
"at.favre.tools.dconvert.DConvert$1.onFinished",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2545537383465504,2.361102970982918
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6891422234296475,0.5455395086332676
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0015683087359840177,-0.00018501938352692357
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13485923756004206,0.06451941858965318
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0026433415129574955,0.004974837911520688
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.27774732889843046,-0.03276691533366616
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26531057967416494,-0.40369114953984464
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04773242139917378,0.02283616704550833
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20847835143290144,0.3923617138972419
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5467850618899263,-0.06450632630642689
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38339694054132606,-0.5833689400824854
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033695876594985526,0.016120796810891375
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52487386083665,-0.06192137806365117
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1744551759376031,-0.26544742619732287
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.003757739602221775,-0.005717699692018818
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2957064790571781,0.14147203000067618
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.17416345187435778,-0.02054672894396417
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.09206450639882302,0.044045543583552296
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.044553639432852545,-0.005256163351392069
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03349184497171052,0.016023183907646645
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.07736772303064483,-0.009127366373452087
"at.favre.tools.dconvert.DConvert$1.onFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.311483932532242,0.6274407474606948
