"method_name","root","BLOCKSIZE","JOBS","LEVEL","CHECKSUM","SKIP","NoTransform","Huffman","ANS0","ANS1","Range","FPAQ","TPAQ","CM","NoEntropy","BWTS","ROLZ","RLT","ZRLT","MTFT","RANK","TEXT","X86","run_time(ms;<)","energy(mWs;<)"
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.63126353045195,-160.4865822135255
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.84650118844518,-18.10671502668216
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.32375963507346,-106.64021788430853
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.41171201602639,-77.90442801709318
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-63.77571547416425,-66.70780143776157
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-53.823839000154265,-62.4047988619417
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-60.406620236071724,-62.05160160964965
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-64.27819166464408,-66.02860292093337
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-67.88745356940763,-78.71052983114316
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-144.88964455570982,-148.65418537594022
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-106.51504534936126,-20.00643531255382
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-287.6474580477726,-347.6912942537145
